כותרת*,תיאור,שם הקורס,סוג,מספר שבוע,קישור,פרומפט לתמונה,טקסט לקריינות

# קורסים - בינה מלאכותית ואוטומציה
מדריך ChatGPT Masterclass,מדריך מקצועי מקיף לשימוש ב-ChatGPT - Prompt Engineering וכתיבה שיווקית,ChatGPT למתקדמים,document,1,https://bdnhost.net/Resources/guides/ai-automation/chatgpt_guide.html,A modern AI chatbot interface with glowing neural networks,שלום לתלמידים יקרים! היום נתחיל במסע מרתק לעולם ChatGPT. נלמד כיצד לכתוב פרומפטים מקצועיים ולהפיק תוכן איכותי
מבחן ChatGPT,מבחן אינטראקטיבי עם 10 שאלות אמריקאיות על יסודות ChatGPT,ChatGPT למתקדמים,lexicon,1,https://bdnhost.net/Resources/guides/ai-automation/chatgpt-quiz.html,A quiz interface with checkmarks and graduation cap,הגיע הזמן לבחון את עצמכם! המבחן מכיל 10 שאלות על החומר שלמדתם. בהצלחה!
מדריך Prompt Engineering,טכניקות מתקדמות לכתיבת פרומפטים אפקטיביים,Prompt Engineering,document,2,https://bdnhost.net/Resources/guides/ai-automation/prompt-engineering-guide.html,A creative prompt design with colorful text bubbles,ברוכים הבאים למדריך Prompt Engineering! נלמד טכניקות מתקדמות ליצירת פרומפטים שמניבים תוצאות מדהימות
אוסף Prompts,אוסף מקיף של פרומפטים מוכנים לשימוש במגוון תחומים,Prompt Engineering,lexicon,2,https://bdnhost.net/Resources/guides/ai-automation/prompts.html,A collection of ready-to-use prompts organized in folders,הכרתם את האוסף שלנו? מאות פרומפטים מוכנים לשימוש בתחומים שונים - קחו והשתמשו!
יסודות בינה מלאכותית,הבנת מושגי היסוד של AI ומודלים שונים,מבוא לבינה מלאכותית,document,1,https://bdnhost.net/Resources/guides/ai-automation/ai_basics.html,Artificial intelligence brain with digital connections,שלום! היום נצלול לעולם הבינה המלאכותית. נבין מהו AI ואיך הוא משנה את העולם שלנו
אתיקה בבינה מלאכותית,דילמות מוסריות ואחריות בשימוש ב-AI,מבוא לבינה מלאכותית,document,3,https://bdnhost.net/Resources/guides/ai-automation/ai_ethics.html,Ethical AI concept with balanced scales and technology,נושא קריטי - אתיקה ב-AI. נדבר על אחריות שלנו כמשתמשים ועל הדילמות המוסריות
הבנת LLMs,איך מודלי שפה גדולים עובדים - הסבר טכני,מבוא לבינה מלאכותית,document,4,https://bdnhost.net/Resources/guides/ai-automation/understanding-llms-how-it-works.html,Large language model architecture diagram,בואו נבין איך LLMs באמת עובדים מאחורי הקלעים. נצלול לטכנולוגיה המרתקת הזו
Transformers - סקירה,הבנת ארכיטקטורת Transformers במודלים מודרניים,מבוא לבינה מלאכותית,document,5,https://bdnhost.net/Resources/guides/ai-automation/transformers-overview.html,Transformer neural network architecture,Transformers הם המהפכה בעולם ה-AI. נבין את הארכיטקטורה שמאחורי המודלים המודרניים
AI Agentic למנהלים,שימוש ב-AI אוטונומי לניהול משימות,AI למנהלים,document,1,https://bdnhost.net/Resources/guides/ai-automation/agentic-ai-for-managers.html,AI agents managing business tasks autonomously,מנהלים יקרים! הכירו את עידן ה-Agentic AI - סוכנים חכמים שיעזרו לכם לנהל טוב יותר
אוטומציה ללא קוד,בניית מערכות אוטומציה ללא צורך בתכנות,אוטומציה ללא קוד,document,1,https://bdnhost.net/Resources/guides/ai-automation/no-code-automation-empire.html,No-code automation workflow with connected blocks,אין לכם ידע בתכנות? אין בעיה! נלמד לבנות אוטומציות מדהימות ללא שורת קוד אחת
בניית צ'אטבוט שירות,צ'אטבוט שירות לקוחות ללא קוד,אוטומציה ללא קוד,document,2,https://bdnhost.net/Resources/guides/ai-automation/no-code-customer-service-chatbot-building.html,Customer service chatbot interface,בואו נבנה צ'אטבוט שירות מקצועי! נראה איך ליצור עוזר אוטומטי ללקוחות שלכם
מחקר שוק אוטומטי,אוטומציה של תהליכי מחקר שוק באמצעות AI,מחקר שוק דיגיטלי,document,1,https://bdnhost.net/Resources/guides/ai-automation/ai-market-research-automation.html,Automated market research dashboard with graphs,מחקר שוק יכול להיות אוטומטי! נלמד איך AI יכול לעשות את העבודה הקשה בשבילכם
AI למורים,יישומים מקיפים של AI בחינוך,AI בחינוך,document,1,https://bdnhost.net/Resources/guides/ai-automation/guide-comprehensive-ai-applications-for-educators.html,Teachers using AI tools in modern classroom,מורים יקרים! גלו איך AI יכול לשנות את הכיתה שלכם ולהפוך אתכם לסופר-מורים
כלי AI למורים,מדריך לכלי AI ויישומים בחינוך,AI בחינוך,document,2,https://bdnhost.net/Resources/guides/creative-studio/ai-tools-and-applications-guide-for-education-professionals.html,Educational AI tools collection,אוסף הכלים המקיף ביותר למורים! כל מה שצריך להצלחה בכיתה הדיגיטלית

# קורסים - תכנות ופיתוח
מדריך Python,מדריך מקיף ללימוד Python מהיסודות,תכנות Python,document,1,https://bdnhost.net/Resources/guides/ai-automation/python_guide.html,Python programming language logo with code,שלום למתכנתים העתידיים! היום מתחילים את המסע בעולם Python - השפה הכי פופולרית
מבחן Python,מבחן אינטראקטיבי עם 10 שאלות על יסודות Python,תכנות Python,lexicon,5,https://bdnhost.net/Resources/guides/ai-automation/python-quiz.html,Python quiz with code snippets,הגיע הזמן לבדוק מה למדתם! מבחן של 10 שאלות על יסודות Python. קדימה!
Python לסטודנטים,מדריך Python מותאם לסטודנטים,תכנות Python,document,1,https://bdnhost.net/Resources/guides/ai-automation/python_guide4STUODENT.html,Students learning Python programming,סטודנטים יקרים! זה המדריך שלכם ללימוד Python בקצב שלכם
Web Scraping,גרידת נתונים מהרשת באמצעות Python,תכנות Python מתקדם,document,3,https://bdnhost.net/Resources/guides/ai-automation/web_scraping_guide.html,Web scraping visualization with data extraction,בואו נלמד איך לאסוף נתונים מהרשת! Web Scraping הוא כלי עוצמתי שכל מתכנת חייב להכיר
React למקצוענים,מדריך מתקדם לפיתוח עם React,פיתוח React,document,1,https://bdnhost.net/Resources/guides/ai-automation/react-pro-guide.html,React JavaScript library logo with components,ברוכים הבאים לעולם React! נלמד לבנות אפליקציות מודרניות ומהירות
Docker למתחילים,שימוש ב-Docker לניהול קונטיינרים,Docker ו-DevOps,document,1,https://bdnhost.net/Resources/guides/technology/docker-usage-guide.html,Docker containers and whale logo,Docker הוא המהפכה בעולם הפיתוח! נלמד איך להשתמש בקונטיינרים

# קורסים - ניתוח נתונים ועסקים
מדריך ניתוח נתונים,יסודות ניתוח נתונים וויזואליזציה,ניתוח נתונים,document,1,https://bdnhost.net/Resources/guides/data-business/data_analysis_guide.html,Data analysis dashboard with charts and graphs,היי אנליסטים עתידיים! נלמד איך להפוך נתונים למידע בעל ערך
מבחן ניתוח נתונים,מבחן אינטראקטיבי על יסודות ניתוח נתונים,ניתוח נתונים,lexicon,4,https://bdnhost.net/Resources/guides/data-business/data-analysis-quiz.html,Data analysis quiz with statistics symbols,זמן בדיקה! בחנו את עצמכם ב-10 שאלות על ניתוח נתונים
Excel לסטודנטים,מדריך Excel מקיף עם נוסחאות ופונקציות,Excel למתקדמים,document,1,https://bdnhost.net/Resources/guides/data-business/excel_student.html,Excel spreadsheet with formulas,Excel הוא הכלי החשוב ביותר! נלמד נוסחאות מתקדמות ופונקציות עוצמתיות
Power BI,ויזואליזציה ודוחות עסקיים עם Power BI,Power BI,document,1,https://bdnhost.net/Resources/guides/data-business/powerbi_guide.html,Power BI dashboard with interactive visualizations,Power BI מביא את הנתונים לחיים! נלמד ליצור דשבורדים מדהימים
SQL למתחילים,יסודות SQL ושאילתות מסדי נתונים,מסדי נתונים SQL,document,1,https://bdnhost.net/Resources/guides/data-business/sql_guide.html,SQL database query visualization,SQL הוא שפת הנתונים! נלמד לשאול שאלות ממסדי הנתונים
שיווק דיגיטלי,אסטרטגיות שיווק דיגיטלי מודרניות,שיווק דיגיטלי,document,1,https://bdnhost.net/Resources/guides/data-business/marketing_guide.html,Digital marketing funnel with social media,ברוכים הבאים לעולם השיווק הדיגיטלי! נלמד איך להגיע ללקוחות בעידן החדש
שיווק בווידאו קצר,אסטרטגיות לשיווק בסרטונים קצרים,שיווק דיגיטלי,document,2,https://bdnhost.net/Resources/guides/data-business/short-video-marketing-strategy.html,Short video marketing on mobile devices,וידאו קצר הוא המלך! נלמד איך ליצור תוכן ויראלי ב-TikTok Instagram ו-YouTube Shorts

# קורסים - עיצוב ויצירתיות
Canva למתחילים,עיצוב גרפי מקצועי ללא ניסיון קודם,Canva ועיצוב,document,1,https://bdnhost.net/Resources/guides/creative-studio/canva_guide.html,Canva design interface with templates,גלו את העיצוב שבכם! Canva הופך כל אחד למעצב מקצועי
UI/UX Design,עקרונות עיצוב ממשק וחוויית משתמש,עיצוב UI/UX,document,1,https://bdnhost.net/Resources/guides/creative-studio/ui_ux_guide.html,Modern UI/UX design wireframes,עיצוב טוב הוא לא רק יופי - זו חוויה! נלמד את עקרונות ה-UI/UX
עריכת וידאו,מדריך לעריכת וידאו מקצועית,עריכת וידאו,document,1,https://bdnhost.net/Resources/guides/creative-studio/video_editing_guide.html,Video editing timeline with clips,זמן להפוך לעורך וידאו! נלמד טכניקות מקצועיות ליצירת סרטונים מדהימים
Midjourney לשיווק,יצירת תמונות שיווקיות עם Midjourney,AI לעיצוב,document,1,https://bdnhost.net/Resources/guides/creative-studio/midjourney-for-marketing-visuals.html,AI-generated marketing visuals,Midjourney משנה את משחק העיצוב! נלמד ליצור תמונות שיווקיות מדהימות
עיצוב מכני,יסודות עיצוב מכני ו-CAD,עיצוב מכני,document,1,https://bdnhost.net/Resources/guides/creative-studio/mechanical_design_guide.html,3D CAD mechanical design,העולם הפיזי פוגש את הדיגיטלי! נלמד עיצוב מכני מודרני
תכנות יצירתי לילדים,Micro:bit - תכנות ופרויקטים לילדים,Micro:bit לילדים,document,1,https://bdnhost.net/Resources/guides/creative-studio/creative-coding-for-kids-microbit.html,Kids programming with Micro:bit device,ילדים יקרים! בואו ללמוד תכנות בדרך הכי כיפית - עם Micro:bit

# קורסים - קריירה ופיתוח אישי
הכנה לקריירה,הכנה לראיונות עבודה וקריירה טכנולוגית,פיתוח קריירה,document,1,https://bdnhost.net/Resources/guides/career/career_prep.html,Professional career preparation concept,הקריירה שלכם מתחילה כאן! נכין אתכם להצלחה בעולם התעסוקה
בניית תיק עבודות,יצירת תיק עבודות דיגיטלי מרשים,פיתוח קריירה,document,2,https://bdnhost.net/Resources/guides/career/building-impressive-digital-portfolio.html,Impressive digital portfolio showcase,תיק עבודות טוב הוא הכרטיס שלכם להצלחה! נלמד לבנות פורטפוליו מנצח
מיומנויות מצגת,הכנה ומסירה של מצגות מקצועיות,פיתוח קריירה,document,3,https://bdnhost.net/Resources/guides/career/presentation_skills.html,Professional presentation skills,מצגת טובה יכולה לשנות הכל! נלמד להציג בצורה מקצועית ומשכנעת

# קורסים - יסודות דיגיטליים
אוריינות דיגיטלית,יסודות השימוש במחשב ובאינטרנט,יסודות מחשב,document,1,https://bdnhost.net/Resources/guides/digital-basics/digital_literacy_basics_guide.html,Digital literacy concept with computer,צעדים ראשונים בעולם הדיגיטלי! נלמד את היסודות החשובים ביותר
יסודות האינטרנט,הבנת האינטרנט ושימוש בטוח ברשת,יסודות מחשב,document,2,https://bdnhost.net/Resources/guides/digital-basics/internet_basics.html,Internet connectivity globe,האינטרנט הוא העולם שלנו! נלמד איך להשתמש בו בצורה נכונה ובטוחה
ניהול קבצים,ארגון וניהול קבצים ותיקיות,יסודות מחשב,document,3,https://bdnhost.net/Resources/guides/digital-basics/file-management.html,File management system organization,סדר הוא הכל! נלמד לנהל ולארגן את הקבצים שלנו
Terminal למתחילים,שימוש בטרמינל ושורת פקודה,כלי פיתוח,document,1,https://bdnhost.net/Resources/guides/digital-basics/terminal_guide.html,Command line terminal interface,הטרמינל הוא כלי העל! נלמד לעבוד עם שורת הפקודה כמו מקצוענים
GitHub למתחילים,שימוש ב-Git ו-GitHub לניהול קוד,כלי פיתוח,document,2,https://bdnhost.net/Resources/guides/digital-basics/github_guide.html,GitHub version control workflow,GitHub הוא הבית של הקוד! נלמד ניהול גרסאות ועבודה שיתופית
כתיבת קורות חיים,יצירת קורות חיים מקצועיים,פיתוח קריירה,document,1,https://bdnhost.net/Resources/guides/digital-basics/cv_guide.html,Professional CV document,קורות חיים טובים פותחים דלתות! נלמד לכתוב CV שמושך תשומת לב
חשיבה אלגוריתמית,פיתוח חשיבה לוגית ופתרון בעיות,יסודות תכנות,document,1,https://bdnhost.net/Resources/guides/digital-basics/algorithmic_thinking.html,Algorithm flowchart diagram,חשיבה אלגוריתמית היא הבסיס! נלמד לפתור בעיות בצורה מסודרת
מדריך EduManage,שימוש במערכת EduManage לניהול למידה,EduManage,document,1,https://bdnhost.net/Resources/guides/digital-basics/edumanage-resource-edumanage-guide.html,EduManage LMS platform interface,הכירו את EduManage - המערכת שתלווה אתכם בכל הדרך!

# קורסים - טכנולוגיה מתקדמת
IoT - אינטרנט של דברים,הבנת IoT ופרויקטים חכמים,IoT,document,1,https://bdnhost.net/Resources/guides/technology/iot_guide.html,IoT connected devices network,העולם החכם הוא כאן! נלמד על אינטרנט של דברים ואיך הוא משנה את חיינו
טכנולוגיה רכב,טכנולוגיות מתקדמות ברכב,רכב חכם,document,1,https://bdnhost.net/Resources/guides/technology/automotive_guide.html,Advanced automotive technology,הרכב של העתיד! גלו את הטכנולוגיות המהפכניות בתעשיית הרכב

# קורסים מובנים
קורס Algebra למתחילים - מבוא,מבוא לקורס אלגברה למתחילים,אלגברה למתחילים,presentation,1,https://bdnhost.net/Resources/courses/algebra-beginners/index.html,Algebra mathematics symbols,ברוכים הבאים לקורס האלגברה! נלמד את היסודות המתמטיים החשובים
קורס Algebra - שיעור 1,משוואות לינאריות ופתרונן,אלגברה למתחילים,document,1,https://bdnhost.net/Resources/courses/algebra-beginners/lesson-1.html,Linear equations on blackboard,שיעור ראשון - משוואות לינאריות! הבסיס של כל האלגברה
קורס Algebra - שיעור 2,משתנים ופעולות אלגבריות,אלגברה למתחילים,document,2,https://bdnhost.net/Resources/courses/algebra-beginners/lesson-2.html,Algebraic variables and operations,שיעור שני - משתנים! נלמד לעבוד עם x ו-y
קורס Algebra - שיעור 3,פולינומים ופירוק לגורמים,אלגברה למתחילים,document,3,https://bdnhost.net/Resources/courses/algebra-beginners/lesson-3.html,Polynomial factoring,שיעור שלישי - פולינומים! מתמטיקה מתקדמת יותר
