כותרת*,תיאור,שם הקורס,סוג,מספר שבוע,קישור,פרומפט לתמונה,טקסט לקריינות
קורס Algebra - שיעור 4,פונקציות וגרפים,אלגברה למתחילים,document,4,https://bdnhost.net/Resources/courses/algebra-beginners/lesson-4.html,Function graphs on coordinate plane,שיעור רביעי - פונקציות! נראה איך מתמטיקה הופכת לויזואלית
קורס Algebra - שיעור 5,משוואות ריבועיות,אלגברה למתחילים,document,5,https://bdnhost.net/Resources/courses/algebra-beginners/lesson-5.html,Quadratic equations formula,שיעור חמישי - משוואות ריבועיות! הפסגה של הקורס

קורס Terminal Windows - מבוא,מבוא לטרמינל Windows,Terminal Windows,presentation,1,https://bdnhost.net/Resources/courses/basic-windows-terminal/index.html,Windows terminal command prompt,ברוכים הבאים לעולם הטרמינל של Windows!
קורס Terminal Windows - שיעור 1,פקודות בסיסיות בטרמינל,Terminal Windows,document,1,https://bdnhost.net/Resources/courses/basic-windows-terminal/lesson-1.html,Basic terminal commands,שיעור ראשון - הפקודות הבסיסיות שכל אחד חייב להכיר
קורס Terminal Windows - שיעור 2,ניווט במערכת הקבצים,Terminal Windows,document,2,https://bdnhost.net/Resources/courses/basic-windows-terminal/lesson-2.html,File system navigation,שיעור שני - איך לנווט בקבצים דרך הטרמינל
קורס Terminal Windows - שיעור 3,ניהול קבצים ותיקיות,Terminal Windows,document,3,https://bdnhost.net/Resources/courses/basic-windows-terminal/lesson-3.html,File management operations,שיעור שלישי - ניהול קבצים מתקדם
קורס Terminal Windows - שיעור 4,תהליכים ושירותים,Terminal Windows,document,4,https://bdnhost.net/Resources/courses/basic-windows-terminal/lesson-4.html,System processes and services,שיעור רביעי - נלמד על תהליכים ושירותים במערכת
קורס Terminal Windows - שיעור 5,סקריפטים ואוטומציה,Terminal Windows,document,5,https://bdnhost.net/Resources/courses/basic-windows-terminal/lesson-5.html,Batch scripts automation,שיעור חמישי - אוטומציה עם סקריפטים!

קורס ניהול ענן - מבוא,מבוא לניהול שירותי ענן,ניהול ענן,presentation,1,https://bdnhost.net/Resources/courses/cloud-management/index.html,Cloud computing infrastructure,ברוכים הבאים לעולם הענן! נלמד ניהול שירותים בענן
קורס ניהול ענן - שיעור 1,יסודות Cloud Computing,ניהול ענן,document,1,https://bdnhost.net/Resources/courses/cloud-management/lesson-1.html,Cloud computing basics,שיעור ראשון - מהו ענן ולמה הוא חשוב
קורס ניהול ענן - שיעור 2,שירותי IaaS PaaS SaaS,ניהול ענן,document,2,https://bdnhost.net/Resources/courses/cloud-management/lesson-2.html,Cloud service models,שיעור שני - מודלי השירות השונים בענן
קורס ניהול ענן - שיעור 3,ניהול משאבים בענן,ניהול ענן,document,3,https://bdnhost.net/Resources/courses/cloud-management/lesson-3.html,Cloud resource management,שיעור שלישי - איך לנהל משאבים ביעילות
קורס ניהול ענן - שיעור 4,אבטחה בענן,ניהול ענן,document,4,https://bdnhost.net/Resources/courses/cloud-management/lesson-4.html,Cloud security protection,שיעור רביעי - אבטחה קריטית בענן
קורס ניהול ענן - שיעור 5,אופטימיזציה ועלויות,ניהול ענן,document,5,https://bdnhost.net/Resources/courses/cloud-management/lesson-5.html,Cloud cost optimization,שיעור חמישי - חיסכון בעלויות ואופטימיזציה

קורס ניהול קבצים - מבוא,מבוא לניהול קבצים ותיקיות,ניהול קבצים,presentation,1,https://bdnhost.net/Resources/courses/file-management/index.html,File organization system,ברוכים הבאים לקורס ניהול קבצים! סדר הוא הכל
קורס ניהול קבצים - שיעור 1,מבנה תיקיות,ניהול קבצים,document,1,https://bdnhost.net/Resources/courses/file-management/lesson-1.html,Folder structure hierarchy,שיעור ראשון - איך לבנות מבנה תיקיות נכון
קורס ניהול קבצים - שיעור 2,שמות קבצים וארגון,ניהול קבצים,document,2,https://bdnhost.net/Resources/courses/file-management/lesson-2.html,File naming conventions,שיעור שני - שמות קבצים ועקרונות ארגון
קורס ניהול קבצים - שיעור 3,גיבוי ושחזור,ניהול קבצים,document,3,https://bdnhost.net/Resources/courses/file-management/lesson-3.html,Backup and recovery,שיעור שלישי - גיבוי חשוב! נלמד איך להגן על הקבצים
קורס ניהול קבצים - שיעור 4,שיתוף ושיתוף פעולה,ניהול קבצים,document,4,https://bdnhost.net/Resources/courses/file-management/lesson-4.html,File sharing collaboration,שיעור רביעי - שיתוף קבצים עם אחרים
קורס ניהול קבצים - שיעור 5,עבודה עם ענן,ניהול קבצים,document,5,https://bdnhost.net/Resources/courses/file-management/lesson-5.html,Cloud storage integration,שיעור חמישי - שילוב עם שירותי ענן

קורס Google Colab - מבוא,מבוא ל-Google Colab ו-Jupyter,Google Colab,presentation,1,https://bdnhost.net/Resources/courses/google-colab/index.html,Google Colab notebook interface,ברוכים הבאים ל-Google Colab! תכנות בענן חינם
קורס Google Colab - שיעור 1,הכרת הממשק,Google Colab,document,1,https://bdnhost.net/Resources/courses/google-colab/lesson-1.html,Colab interface walkthrough,שיעור ראשון - הכרת הממשק של Colab
קורס Google Colab - שיעור 2,תאי קוד וטקסט,Google Colab,document,2,https://bdnhost.net/Resources/courses/google-colab/lesson-2.html,Code and markdown cells,שיעור שני - עבודה עם תאים שונים
קורס Google Colab - שיעור 3,ספריות ונתונים,Google Colab,document,3,https://bdnhost.net/Resources/courses/google-colab/lesson-3.html,Libraries and data import,שיעור שלישי - ייבוא ספריות ועבודה עם נתונים
קורס Google Colab - שיעור 4,ויזואליזציה,Google Colab,document,4,https://bdnhost.net/Resources/courses/google-colab/lesson-4.html,Data visualization plots,שיעור רביעי - יצירת גרפים וויזואליזציות
קורס Google Colab - שיעור 5,שיתוף ושמירה,Google Colab,document,5,https://bdnhost.net/Resources/courses/google-colab/lesson-5.html,Sharing and saving notebooks,שיעור חמישי - שיתוף ושמירת עבודות

קורס HTML CSS JS - מבוא,מבוא לפיתוח Web,פיתוח Web,presentation,1,https://bdnhost.net/Resources/courses/html-css-js/index.html,Web development HTML CSS JavaScript,ברוכים הבאים לפיתוח Web! נלמד HTML CSS ו-JavaScript
קורס HTML CSS JS - שיעור 1,יסודות HTML,פיתוח Web,document,1,https://bdnhost.net/Resources/courses/html-css-js/lesson-1.html,HTML structure tags,שיעור ראשון - HTML הוא השלד של האתר
קורס HTML CSS JS - שיעור 2,עיצוב עם CSS,פיתוח Web,document,2,https://bdnhost.net/Resources/courses/html-css-js/lesson-2.html,CSS styling properties,שיעור שני - CSS מוסיף יופי לאתר
קורס HTML CSS JS - שיעור 3,JavaScript בסיסי,פיתוח Web,document,3,https://bdnhost.net/Resources/courses/html-css-js/lesson-3.html,JavaScript code basics,שיעור שלישי - JavaScript מוסיף חיים!
קורס HTML CSS JS - שיעור 4,DOM ואירועים,פיתוח Web,document,4,https://bdnhost.net/Resources/courses/html-css-js/lesson-4.html,DOM manipulation events,שיעור רביעי - אינטראקציה עם המשתמש
קורס HTML CSS JS - שיעור 5,פרויקט מעשי,פיתוח Web,document,5,https://bdnhost.net/Resources/courses/html-css-js/lesson-5.html,Complete web project,שיעור חמישי - בואו נבנה אתר שלם!

קורס Micro:bit - מבוא,מבוא לתכנות עם Micro:bit,Micro:bit,presentation,1,https://bdnhost.net/Resources/courses/microbit/index.html,Micro:bit device programming,ברוכים הבאים לעולם ה-Micro:bit! תכנות מהנה
קורס Micro:bit - שיעור 1,הכרת הלוח,Micro:bit,document,1,https://bdnhost.net/Resources/courses/microbit/lesson-1.html,Micro:bit board components,שיעור ראשון - הכירו את ה-Micro:bit
קורס Micro:bit - שיעור 2,תכנות בלוקים,Micro:bit,document,2,https://bdnhost.net/Resources/courses/microbit/lesson-2.html,Block programming interface,שיעור שני - תכנות עם בלוקים
קורס Micro:bit - שיעור 3,חיישנים ותצוגה,Micro:bit,document,3,https://bdnhost.net/Resources/courses/microbit/lesson-3.html,Sensors and LED display,שיעור שלישי - חיישנים והתצוגה
קורס Micro:bit - שיעור 4,פרויקטים אינטראקטיביים,Micro:bit,document,4,https://bdnhost.net/Resources/courses/microbit/lesson-4.html,Interactive Micro:bit projects,שיעור רביעי - פרויקטים מגניבים!
קורס Micro:bit - שיעור 5,משחקים ואתגרים,Micro:bit,document,5,https://bdnhost.net/Resources/courses/microbit/lesson-5.html,Micro:bit games challenges,שיעור חמישי - יצירת משחקים!

קורס המיליונר - מבוא,מבוא לבניית עסק אונליין,עסקים אונליין,presentation,1,https://bdnhost.net/Resources/courses/millionaire-guide/index.html,Online business millionaire success,ברוכים הבאים למסע להצלחה! בואו לבנות עסק אונליין
קורס המיליונר - שיעור 1,מציאת הנישה,עסקים אונליין,document,1,https://bdnhost.net/Resources/courses/millionaire-guide/lesson-1.html,Finding business niche market,שיעור ראשון - מציאת הנישה שלכם
קורס המיליונר - שיעור 2,בניית מותג,עסקים אונליין,document,2,https://bdnhost.net/Resources/courses/millionaire-guide/lesson-2.html,Building brand identity,שיעור שני - בניית המותג שלכם
קורס המיליונר - שיעור 3,שיווק ומכירות,עסקים אונליין,document,3,https://bdnhost.net/Resources/courses/millionaire-guide/lesson-3.html,Marketing and sales strategies,שיעור שלישי - שיווק ומכירות מנצחות
קורס המיליונר - שיעור 4,גידול והרחבה,עסקים אונליין,document,4,https://bdnhost.net/Resources/courses/millionaire-guide/lesson-4.html,Business growth scaling,שיעור רביעי - איך להגדיל את העסק
קורס המיליונר - שיעור 5,אוטומציה והצלחה,עסקים אונליין,document,5,https://bdnhost.net/Resources/courses/millionaire-guide/lesson-5.html,Business automation success,שיעור חמישי - אוטומציה והצלחה לטווח ארוך

קורס Excel חכם - מבוא,Excel עם AI ואוטומציה,Excel חכם,presentation,1,https://bdnhost.net/Resources/courses/smart-excel-ai/index.html,Smart Excel with AI,ברוכים הבאים ל-Excel החכם! AI פוגש גליונות
קורס Excel חכם - שיעור 1,נוסחאות חכמות,Excel חכם,document,1,https://bdnhost.net/Resources/courses/smart-excel-ai/lesson-1.html,Smart Excel formulas,שיעור ראשון - נוסחאות חכמות עם AI
קורס Excel חכם - שיעור 3,ניתוח נתונים אוטומטי,Excel חכם,document,3,https://bdnhost.net/Resources/courses/smart-excel-ai/lesson-3.html,Automated data analysis,שיעור שלישי - ניתוח נתונים אוטומטי
קורס Excel חכם - שיעור 4,ויזואליזציה דינמית,Excel חכם,document,4,https://bdnhost.net/Resources/courses/smart-excel-ai/lesson-4.html,Dynamic visualization,שיעור רביעי - ויזואליזציה דינמית מתקדמת
קורס Excel חכם - שיעור 5,אינטגרציה עם AI,Excel חכם,document,5,https://bdnhost.net/Resources/courses/smart-excel-ai/lesson-5.html,Excel AI integration,שיעור חמישי - שילוב AI בגיליונות

קורס Visual Studio - מבוא,מבוא ל-Visual Studio,Visual Studio,presentation,1,https://bdnhost.net/Resources/courses/visual-studio/index.html,Visual Studio IDE,ברוכים הבאים ל-Visual Studio! ה-IDE המקצועי
קורס Visual Studio - פרק 1,הכרת הממשק,Visual Studio,document,1,https://bdnhost.net/Resources/courses/visual-studio/chapter-1.html,Visual Studio interface,פרק ראשון - הכרת הממשק של Visual Studio
קורס Visual Studio - פרק 2,פרויקטים וקבצים,Visual Studio,document,2,https://bdnhost.net/Resources/courses/visual-studio/chapter-2.html,Projects and files management,פרק שני - ניהול פרויקטים וקבצים
קורס Visual Studio - פרק 3,דיבאג ובדיקות,Visual Studio,document,3,https://bdnhost.net/Resources/courses/visual-studio/chapter-3.html,Debugging and testing,פרק שלישי - דיבאג ובדיקות קוד
קורס Visual Studio - פרק 4,כלים מתקדמים,Visual Studio,document,4,https://bdnhost.net/Resources/courses/visual-studio/chapter-4.html,Advanced VS tools,פרק רביעי - כלים מתקדמים
קורס Visual Studio - פרק 5,פריסה ופרסום,Visual Studio,document,5,https://bdnhost.net/Resources/courses/visual-studio/chapter-5.html,Deployment and publishing,פרק חמישי - פריסה ופרסום אפליקציות

קורס ניהול קבצים Windows - מבוא,מבוא לניהול קבצים ב-Windows,ניהול קבצים Windows,presentation,1,https://bdnhost.net/Resources/courses/windows-file-management/index.html,Windows file management,ברוכים הבאים לניהול קבצים ב-Windows!
קורס ניהול קבצים Windows - שיעור 1,סייר הקבצים,ניהול קבצים Windows,document,1,https://bdnhost.net/Resources/courses/windows-file-management/lesson-1.html,File Explorer navigation,שיעור ראשון - סייר הקבצים של Windows
קורס ניהול קבצים Windows - שיעור 2,פעולות על קבצים,ניהול קבצים Windows,document,2,https://bdnhost.net/Resources/courses/windows-file-management/lesson-2.html,File operations copy move,שיעור שני - פעולות בסיסיות על קבצים
קורס ניהול קבצים Windows - שיעור 3,חיפוש וארגון,ניהול קבצים Windows,document,3,https://bdnhost.net/Resources/courses/windows-file-management/lesson-3.html,Search and organization,שיעור שלישי - חיפוש וארגון מתקדם
קורס ניהול קבצים Windows - שיעור 4,הרשאות ואבטחה,ניהול קבצים Windows,document,4,https://bdnhost.net/Resources/courses/windows-file-management/lesson-4.html,Permissions and security,שיעור רביעי - הרשאות ואבטחת קבצים
קורס ניהול קבצים Windows - שיעור 5,גיבוי ושחזור,ניהול קבצים Windows,document,5,https://bdnhost.net/Resources/courses/windows-file-management/lesson-5.html,Backup and recovery,שיעור חמישי - גיבוי ושחזור

קורס Terminal Windows מתקדם - מבוא,מבוא לטרמינל מתקדם,Terminal Windows מתקדם,presentation,1,https://bdnhost.net/Resources/courses/windows-terminal-advanced/index.html,Advanced Windows terminal,ברוכים הבאים לטרמינל מתקדם! עכשיו זה נהיה רציני
קורס Terminal Windows מתקדם - שיעור 1,PowerShell מתקדם,Terminal Windows מתקדם,document,1,https://bdnhost.net/Resources/courses/windows-terminal-advanced/lesson-1.html,PowerShell advanced scripting,שיעור ראשון - PowerShell מתקדם
קורס Terminal Windows מתקדם - שיעור 2,אוטומציה וסקריפטים,Terminal Windows מתקדם,document,2,https://bdnhost.net/Resources/courses/windows-terminal-advanced/lesson-2.html,Automation scripts,שיעור שני - אוטומציה וסקריפטים מורכבים
קורס Terminal Windows מתקדם - שיעור 3,ניהול מערכת,Terminal Windows מתקדם,document,3,https://bdnhost.net/Resources/courses/windows-terminal-advanced/lesson-3.html,System administration,שיעור שלישי - ניהול מערכת מתקדם
קורס Terminal Windows מתקדם - שיעור 4,רשת ותקשורת,Terminal Windows מתקדם,document,4,https://bdnhost.net/Resources/courses/windows-terminal-advanced/lesson-4.html,Network and communication,שיעור רביעי - פקודות רשת ותקשורת
קורס Terminal Windows מתקדם - שיעור 5,אבטחה ומעקב,Terminal Windows מתקדם,document,5,https://bdnhost.net/Resources/courses/windows-terminal-advanced/lesson-5.html,Security and monitoring,שיעור חמישי - אבטחה ומעקב מתקדמים
